우편번호,주소,법정동코드,건물명,위도,경도
01662,서울특별시 노원구 한글비석로20길 37,1135010600,,127.0738531,37.6603183
01662,서울특별시 노원구 한글비석로20길 43,1135010600,,127.0744585,37.6613189
01662,서울특별시 노원구 한글비석로20길 47,1135010600,,127.0740844,37.6608557
01662,서울특별시 노원구 한글비석로20길 23,1135010600,,127.0835010,37.6409566
01662,서울특별시 노원구 한글비석로20길 53,1135010600,,127.0836262,37.6421127
01733,서울특별시 노원구 중계로2길 28,1135010600,,127.0741945,37.6611165
01732,서울특별시 노원구 중계로2길 55,1135010600,,127.0746120,37.6614406
01730,서울특별시 노원구 중계로2길 54,1135010600,,127.0837782,37.6419447
01730,서울특별시 노원구 중계로2길 52,1135010600,,127.0837962,37.6420461
01730,서울특별시 노원구 중계로4바길 18,1135010600,,127.0846921,37.6433893
01730,서울특별시 노원구 중계로4바길 5,1135010600,,127.0845857,37.6433227
01722,서울특별시 노원구 중계로16다길 41,1135010600,,127.0845181,37.6512008
01730,서울특별시 노원구 중계로4바길 6,1135010600,,127.0851392,37.6430894
01730,서울특별시 노원구 중계로4바길 5,1135010600,,127.0855930,37.6430445
01730,서울특별시 노원구 중계로4바길 25,1135010600,,127.0855263,37.6431710
01730,서울특별시 노원구 중계로4바길 27,1135010600,,127.0740812,37.6607666
01662,서울특별시 노원구 한글비석로20길 35,1135010600,,127.0846921,37.6433893
01662,서울특별시 노원구 한글비석로20길 38,1135010600,,127.0737890,37.6602093
01662,서울특별시 노원구 한글비석로20길 21,1135010600,,127.0737215,37.6596621
01662,서울특별시 노원구 한글비석로20길 16,1135010600,,127.0743035,37.6608106
01662,서울특별시 노원구 한글비석로20길 10,1135010600,,127.0738546,37.6598766
01662,서울특별시 노원구 한글비석로20길 23,1135010600,,127.0740812,37.6607666
01662,서울특별시 노원구 한글비석로20길 35,1135010600,,127.0738531,37.6603183
01662,서울특별시 노원구 한글비석로20길 23,1135010600,,127.0778633,37.6600635
01717,서울특별시 노원구 덕릉로82길 76,1135010600,,127.0738531,37.6603183
01717,서울특별시 노원구 덕릉로82길 72,1135010600,,127.0779398,37.6599317
01662,서울특별시 노원구 덕릉로83길 18,1135010600,,127.0838645,37.6425094
01730,서울특별시 노원구 중계로2마길 3,1135010600,,127.0744187,37.6601354
01730,서울특별시 노원구 중계로2마길 10,1135010600,,127.0840758,37.6422046
01730,서울특별시 노원구 중계로2마길 11,1135010600,,127.0842080,37.6423871
01730,서울특별시 노원구 중계로2마길 19,1135010600,,127.0844643,37.6423822
01730,서울특별시 노원구 중계로2마길 3,1135010600,,127.0838645,37.6425094
01730,서울특별시 노원구 중계로2마길 23,1135010600,,127.0738531,37.6603183
01662,서울특별시 노원구 한글비석로20길 23,1135010600,,127.0746277,37.6612676
01662,서울특별시 노원구 한글비석로20길 31,1135010600,,127.0846889,37.6424408
01662,서울특별시 노원구 한글비석로20길 52,1135010600,,127.0739436,37.6606029
01662,서울특별시 노원구 한글비석로20길 15,1135010600,,127.0735253,37.6602608
01662,서울특별시 노원구 한글비석로20길 15,1135010600,,127.0735253,37.6602608
01662,서울특별시 노원구 한글비석로20길 27,1135010600,,127.0739085,37.6604417
01662,서울특별시 노원구 한글비석로20길 27,1135010600,,127.0739085,37.6604417
01730,서울특별시 노원구 중계로4나길 35,1135010600,,127.0853380,37.6422427
01731,서울특별시 노원구 중계로4마길 23,1135010600,,127.0865367,37.6409877
